account_name,tier_label,gap_days,sales_vs_baseline_%,prob_decline,rep_message
ENGINEERED PRODUCTS & SERVICES,Black,61.0,-75.41116203828525,0.5070018412197741,Black tier customer • Last order 61d (typ 30d) • Sales ⬇︎75% vs. norm
JOE WHITE TANK CO,Black,61.0,-75.79286080957569,0.5113193252570676,Black tier customer • Last order 61d (typ 31d) • Sales ⬇︎76% vs. norm
SOUTHWEST FLUID PRODUCTS INC,Black,61.0,-70.49763033175356,0.5077424139495705,Black tier customer • Last order 61d (typ 30d) • Sales ⬇︎70% vs. norm
OMI CRANES,Black,59.0,-72.69274591720472,0.5073769671980237,Black tier customer • Last order 59d (typ 31d) • Sales ⬇︎73% vs. norm
JAMES MFG,Black,61.0,-85.51319368230186,0.4179246898490836,Black tier customer • Last order 61d (typ 46d) • Sales ⬇︎86% vs. norm
"BKP MANUFACTURING, LLC.",Black,30.0,-100.0,0.5475363483050487,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎100% vs. norm
MAGEE MACHINE & MFG,Black,62.0,-83.878882798225,0.4168753754136223,Black tier customer • Last order 62d (typ 46d) • Sales ⬇︎84% vs. norm
E M F CO INC,Black,92.0,-53.160098113346734,0.3775662415044836,Black tier customer • Last order 92d (typ 46d) • Sales ⬇︎53% vs. norm
ACS MANUFACTURING INC,Black,30.0,-99.01911361364355,0.5829312383022124,Black tier customer • Last order 30d (typ 30d) • Sales ⬇︎99% vs. norm
BANDY INC DBA TCD METALS FAB I,Black,120.0,-68.77773295683744,0.1559576711012285,Black tier customer • Last order 120d (typ 90d) • Sales ⬇︎69% vs. norm
BUFERD CO INC DBA UNITY MFG,Black,61.0,-68.43037471041605,0.5102598217264629,Black tier customer • Last order 61d (typ 31d) • Sales ⬇︎68% vs. norm
KOERBER SUPPLY CHAIN LLC DBA SIEMENS PARCEL LOGISTICS L,Black,31.0,-97.69921363889573,0.5494456724281125,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎98% vs. norm
OWEN OIL TOOLS-DIV CORE LABORA,Black,30.0,-97.04339653792911,0.5535453877969906,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎97% vs. norm
CUSTOM MFG CO,Black,31.0,-96.33960345704118,0.550195485734744,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎96% vs. norm
WASSERSTROM MARKETING CORP,Black,30.0,-81.22308354866495,0.638103782273377,Black tier customer • Last order 30d (typ 15d) • Sales ⬇︎81% vs. norm
"JONES-BELL, LLC dba ECS ENVIROMENTAL SOLUTIONS",Black,31.0,-80.58432524346885,0.6343177818502319,Black tier customer • Last order 31d (typ 15d) • Sales ⬇︎81% vs. norm
AL3 INC,Black,61.0,-65.95897804965816,0.5056497627905817,Black tier customer • Last order 61d (typ 31d) • Sales ⬇︎66% vs. norm
MAXIMUM INDUSTRIES INC,Black,59.0,-67.59611214571801,0.5083271623027804,Black tier customer • Last order 59d (typ 31d) • Sales ⬇︎68% vs. norm
"13 MFG, INC.",Black,31.0,-95.53812423022161,0.561466849854704,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎96% vs. norm
MICRON APPLIED TECHNOLOGIES IN,Black,31.0,-94.33357091945831,0.5523597602054046,Black tier customer • Last order 31d (typ 30d) • Sales ⬇︎94% vs. norm
ANTENNA PRODUCTS CORP,Black,31.0,-94.80254777070064,0.5476690537602587,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎95% vs. norm
"BCS SWITCHGEAR, INC.",Black,31.0,-94.61047178974012,0.5519671174753548,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎95% vs. norm
TECO METAL PRODUCTS,Black,28.0,-94.51715325640826,0.5544055061521691,Black tier customer • Last order 28d (typ 31d) • Sales ⬇︎95% vs. norm
DAVIS SIGNS & NEON,Black,31.0,-78.73818251977619,0.634502809014775,Black tier customer • Last order 31d (typ 15d) • Sales ⬇︎79% vs. norm
HYDE PLASTICS SOLUTIONS CORPOR,Black,31.0,-94.00187975278402,0.3780468173554843,Black tier customer • Last order 31d (typ 61d) • Sales ⬇︎94% vs. norm
THERMACOR PROCESS INC,Black,28.0,-93.78442171518489,0.5612049362621556,Black tier customer • Last order 28d (typ 29d) • Sales ⬇︎94% vs. norm
MEYER ENTERPRISES,Black,28.0,-93.70736698499317,0.5518963664454862,Black tier customer • Last order 28d (typ 31d) • Sales ⬇︎94% vs. norm
"CACTUS CANYON QUARRIES, INC.",Black,31.0,-77.28852838933952,0.6347955369006494,Black tier customer • Last order 31d (typ 15d) • Sales ⬇︎77% vs. norm
M & F GAUGE & SPECIALTY CO INC,Black,31.0,-92.42671009771986,0.5472094765823143,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎92% vs. norm
A+ FABRICATION,Black,59.0,-64.09106201637323,0.5086601973615816,Black tier customer • Last order 59d (typ 31d) • Sales ⬇︎64% vs. norm
DUCT WORKS,Black,31.0,-91.68088737201366,0.5489434099980157,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎92% vs. norm
ISC Manufacturing,Black,31.0,-90.99740100599844,0.5593765309019937,Black tier customer • Last order 31d (typ 30d) • Sales ⬇︎91% vs. norm
MCQUEARY INDUSTRIES INC.,Black,121.0,48.908678191024975,0.4335316111491751,Black tier customer • Last order 121d (typ 30d) • Sales ⬆︎49% vs. norm
TRANSLAND LLC,Black,31.0,-90.83029197080292,0.5487132331238392,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎91% vs. norm
CIRCLE J FABRICATION INC,Black,30.0,-90.39683315413937,0.5512719107440749,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎90% vs. norm
EXM USA INC.,Black,31.0,-90.04267139004067,0.553551058966235,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎90% vs. norm
HAYES & STOLZ INDUSTRIAL MFG C,Black,30.0,-89.86190222513626,0.5510769119625657,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎90% vs. norm
"O'BRIEN STEEL & SUPPLY, LLC",Black,31.0,-89.25931294390492,0.54755406728793,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎89% vs. norm
VECTOR SYSTEMS INC,Black,30.0,-88.96467274842344,0.5537065294572878,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎89% vs. norm
STEEL NOW,Black,30.0,-88.94436310395315,0.5533868030707587,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎89% vs. norm
HEIL TRAILER INTL DBA KALYN SI,Black,31.0,-88.45004338464506,0.5481477757977855,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎88% vs. norm
ACCURA SYSTEMS INC,Black,30.0,-88.32252085264133,0.5494003570067472,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎88% vs. norm
ALCOM LLC,Black,30.0,-88.29796330181097,0.5643222766670734,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎88% vs. norm
TRIPOINT FABRICATION SHEET MET & WELDING LLC,Black,122.0,-26.560424966799467,0.2653519017017949,Black tier customer • Last order 122d (typ 61d) • Sales ⬇︎27% vs. norm
PRIME STAINLESS AND SUPPLY MIDWEST FAB AND CONSTRUCTION,Black,61.0,-57.39866870839714,0.5061546663568882,Black tier customer • Last order 61d (typ 31d) • Sales ⬇︎57% vs. norm
AIR & HYDRAULIC EQUIPMENT,Black,92.0,-56.290228203627855,0.2991595188800166,Black tier customer • Last order 92d (typ 61d) • Sales ⬇︎56% vs. norm
PERFORMANCE PULSATION CONTROL,Black,31.0,-86.48303779645356,0.5490551776832717,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎86% vs. norm
MULTIPLE SYSTEMS INC,Black,61.0,-86.39133378469872,0.3369987254484595,Black tier customer • Last order 61d (typ 61d) • Sales ⬇︎86% vs. norm
"J & S METAL FABRICATORS, LLC",Black,59.0,-72.26536069852112,0.4283346430004266,Black tier customer • Last order 59d (typ 45d) • Sales ⬇︎72% vs. norm
KANNON MANUFACTURING INC,Black,59.0,-57.887651450250885,0.5087894116308868,Black tier customer • Last order 59d (typ 31d) • Sales ⬇︎58% vs. norm
STATCO-DSI PROCESS SYSTEMS STATCO ENGINEERING & FABRICATO,Black,61.0,-55.81569115815691,0.5060894429130965,Black tier customer • Last order 61d (typ 31d) • Sales ⬇︎56% vs. norm
G2 AUTOMATED TECHNOLOGIES,Black,31.0,-85.8099681278581,0.5487780534434533,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎86% vs. norm
"B & W CABINET AND FIXTURE, LLC",Black,31.0,-85.62975486052409,0.5478728652684965,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎86% vs. norm
Mathews Machine & Hydraulic Supply LLC,Black,59.0,-57.408171687990105,0.5092902762481218,Black tier customer • Last order 59d (typ 31d) • Sales ⬇︎57% vs. norm
M&M BBQ COMPANY,Black,31.0,-83.84041331802526,0.5518524751542021,Black tier customer • Last order 31d (typ 30d) • Sales ⬇︎84% vs. norm
CTS CROWN TEXAS,Black,30.0,-83.30101517052584,0.5519194714658965,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎83% vs. norm
MARTIN SPROCKET & GEAR INC,Black,31.0,-83.1344850625179,0.5483486229071631,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎83% vs. norm
"BODYGUARD PRODUCTS, LLC BODYGUARD BUMPERS",Black,30.0,-67.90254237288136,0.6395681498900753,Black tier customer • Last order 30d (typ 15d) • Sales ⬇︎68% vs. norm
SUPREME CORP OF TEXAS DBA WABA,Black,31.0,-82.709754459288,0.5579136607087618,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎83% vs. norm
"TONGRUN INTERNATIONAL, LLC",Black,30.0,-82.56736063003609,0.5639477345740792,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎83% vs. norm
PHOENIX MFG,Black,60.0,-67.96459118368323,0.4240460223041548,Black tier customer • Last order 60d (typ 45d) • Sales ⬇︎68% vs. norm
DATA MATIQUE,Black,31.0,-82.44915281903954,0.5497599245301074,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎82% vs. norm
FEED YARD INDUSTRIAL SOLUTIONS,Black,31.0,-82.44150625146897,0.5568819664967297,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎82% vs. norm
V B STAINLESS,Black,30.0,-82.36122736459588,0.5507496447037604,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎82% vs. norm
GENERAL AVIATION INDUSTRIES IN,Black,31.0,-82.31860674797133,0.548487678290592,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎82% vs. norm
SMITH TOOL & MFG,Black,61.0,-51.66666666666666,0.5091374816165338,Black tier customer • Last order 61d (typ 30d) • Sales ⬇︎52% vs. norm
"AAA FABRICATION, LLC",Black,28.0,-81.3437789021272,0.5604296334655942,Black tier customer • Last order 28d (typ 31d) • Sales ⬇︎81% vs. norm
PETOL GEARENCH,Black,61.0,-50.353837778987476,0.5067542368494794,Black tier customer • Last order 61d (typ 31d) • Sales ⬇︎50% vs. norm
FINE-LINE PRODUCTION,Black,30.0,-80.00822143052892,0.5512574576350373,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎80% vs. norm
"Tri Star Metals, Inc Tri Star Vet&Direct Animal Pro",Black,31.0,-79.89991793914625,0.5519871744360474,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎80% vs. norm
ADVANCED LIGHTNING TECHNOLOGY,Black,31.0,-79.63624861616321,0.5488274208332378,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎80% vs. norm
SUHM SPRING,Black,61.0,-49.49947312961012,0.5066094006126096,Black tier customer • Last order 61d (typ 31d) • Sales ⬇︎49% vs. norm
"LOGIFI, LLC",Black,28.0,-79.39968851762707,0.5623373369275082,Black tier customer • Last order 28d (typ 29d) • Sales ⬇︎79% vs. norm
"SPARTAN CNC, LLC",Black,31.0,-63.74314800313235,0.6355813516364124,Black tier customer • Last order 31d (typ 15d) • Sales ⬇︎64% vs. norm
PAL-CON LLC,Black,31.0,-79.17943648047454,0.5494082428020738,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎79% vs. norm
"HAMAR INDUSTRIES, INC",Black,31.0,-78.97574123989219,0.5500169320280777,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎79% vs. norm
"COOPER SHEET METAL, INC.",Black,30.0,-78.28470095115266,0.553365260866143,Black tier customer • Last order 30d (typ 30d) • Sales ⬇︎78% vs. norm
FLYNN BEC LP,Black,120.0,-48.290650655556924,0.1556306750445472,Black tier customer • Last order 120d (typ 90d) • Sales ⬇︎48% vs. norm
LBW TURNER LLP,Black,30.0,-77.67892499802001,0.5515669853720042,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎78% vs. norm
AMERICAN POLYMERS CORP. dba POLYCOAT PRODUCTS LLC,Black,31.0,-76.47468417387844,0.5546964814449525,Black tier customer • Last order 31d (typ 30d) • Sales ⬇︎76% vs. norm
CENTRAL METAL SERVICE INC,Black,28.0,-76.79434734101896,0.5543720668761973,Black tier customer • Last order 28d (typ 31d) • Sales ⬇︎77% vs. norm
LONGHORN LOCKER CO LLC,Black,31.0,-76.16747988658337,0.5532191346729799,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎76% vs. norm
JOE TIPTON INC,Black,31.0,-75.61910377358491,0.5488558830434592,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎76% vs. norm
BRINDLE PRODUCTS,Black,30.0,-75.61549944284423,0.5511067613852046,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎76% vs. norm
SPECIAL PRODUCTS & MFG INC,Black,31.0,-75.61031905260728,0.5519302364084825,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎76% vs. norm
"KEYSTONE AV, LLC",Black,31.0,-75.0,0.551643808426869,Black tier customer • Last order 31d (typ 30d) • Sales ⬇︎75% vs. norm
VENTA TEK CORP dba TEXAS VENTILATION,Black,59.0,-45.85319351763585,0.5184823279793319,Black tier customer • Last order 59d (typ 29d) • Sales ⬇︎46% vs. norm
CENTRAL TEXAS MACHINING,Black,28.0,-75.21383767344612,0.5533540726890525,Black tier customer • Last order 28d (typ 31d) • Sales ⬇︎75% vs. norm
T & S MACHINES & TOOLS,Black,62.0,-44.17947913398179,0.5056235140565081,Black tier customer • Last order 62d (typ 31d) • Sales ⬇︎44% vs. norm
MARATHONNORCO AEROSPACE INC,Black,30.0,-74.8185117967332,0.5506006872303225,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎75% vs. norm
R-5 METAL FABRICATORS,Black,31.0,-74.40426952767525,0.5578383582150076,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎74% vs. norm
MFPHD MANUFACTURING,Black,31.0,-74.32798123759696,0.5529486641768696,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎74% vs. norm
R & R SHEET METAL & MACHINE SH,Black,31.0,-74.10213387552064,0.5561667445217432,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎74% vs. norm
"SOUTHERN ELEVATOR & ELECTRIC S S.E.E.S., INC",Black,31.0,-73.79685760237535,0.5492471011581145,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎74% vs. norm
UNIVERSAL FABRICATING USA,Black,30.0,-73.77763729225241,0.5514293497623688,Black tier customer • Last order 30d (typ 31d) • Sales ⬇︎74% vs. norm
ROTOM INC,Black,122.0,-73.20492553457026,0.0814071955343875,Black tier customer • Last order 122d (typ 121d) • Sales ⬇︎73% vs. norm
MIDWEST MACHINE LLC,Black,62.0,-73.18708104814138,0.3325169277193209,Black tier customer • Last order 62d (typ 62d) • Sales ⬇︎73% vs. norm
M & M PRECISION METAL FAB,Black,31.0,-73.04003954522986,0.5526986827622582,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎73% vs. norm
VICTORY CLIMATE SYSTEMS INC UNIQUE FAB,Black,28.0,-72.86086956521739,0.5573620154281049,Black tier customer • Last order 28d (typ 31d) • Sales ⬇︎73% vs. norm
SAMPLES FAB & INDUSTRIAL SERVI,Black,31.0,-72.72187886279357,0.5498751292988967,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎73% vs. norm
PRECISION MACHINE WORKS,Black,31.0,-72.53236664940445,0.5488433057294019,Black tier customer • Last order 31d (typ 31d) • Sales ⬇︎73% vs. norm
